"site","habitat","treatment","sampling_unit","indice","valor"
"valencia","M-dA-T T3 pf3 23-28.vi.21","hyper","pf3_M-dA-T T3 pf3 23-28.vi.21","delta_braycurtis",1
"valencia","M-dA-T T4 pf3 23-28.vi.21","hyper","pf3_M-dA-T T4 pf3 23-28.vi.21","delta_braycurtis",1
"valencia","M dA T1 pf1 23-28/6/2022","hyper","pf1_M dA T1 pf1 23-28/6/2022","delta_braycurtis",1
"valencia","M dA T2 pf1 23-28/6/2022","hyper","pf1_M dA T2 pf1 23-28/6/2022","delta_braycurtis",1
"valencia","M dA T3 pf1 23-28/6/2022","hyper","pf1_M dA T3 pf1 23-28/6/2022","delta_braycurtis",1
"valencia","M dA T4 pf1 23-28/6/2022","hyper","pf1_M dA T4 pf1 23-28/6/2022","delta_braycurtis",1
"valencia","M dA T1 pf2 23-28/6/2022","hyper","pf2_M dA T1 pf2 23-28/6/2022","delta_braycurtis",1
"valencia","M dA T2 pf2 23-28/6/2022","hyper","pf2_M dA T2 pf2 23-28/6/2022","delta_braycurtis",1
"valencia","M dA T3 pf2 23-28/6/2022","hyper","pf2_M dA T3 pf2 23-28/6/2022","delta_braycurtis",1
"valencia","M dA T4 pf2 23-28/6/2022","hyper","pf2_M dA T4 pf2 23-28/6/2022","delta_braycurtis",1
"valencia","M dA T1 pf3 23-28/6/2022","hyper","pf3_M dA T1 pf3 23-28/6/2022","delta_braycurtis",1
"valencia","M dA T2 pf3 23-28/6/2022","hyper","pf3_M dA T2 pf3 23-28/6/2022","delta_braycurtis",1
"valencia","M dA T3 pf3 23-28/6/2022","hyper","pf3_M dA T3 pf3 23-28/6/2022","delta_braycurtis",1
"valencia","M dA T4 pf3 23-28/6/2022","hyper","pf3_M dA T4 pf3 23-28/6/2022","delta_braycurtis",1
